Year,2017/18,2018/19,2019/20
Workforce female,"503,900","501,300","541,600"
Workforce male,"2,050,700","2,165,600","2,246,500"
Workforce total,"2,554,600","2,666,900","2,788,100"
Student female,255925,267615,165250
Student male,390165,394145,376140
Student other,400,660,630
Student total,646490,662420,542025
Postgrad female,56070,59705,39910
Postgrad male,73240,75840,76935
Postgrad other,155,235,215
Postgrad total,129460,135775,117055
Undergrad female,199845,207915,125350
Undergrad male,316930,318295,299210
Undergrad other,250,430,420
Undergrad tota,517025,526640,424975
